	FragGeneScan_RW1	FragGeneScan_GIC31	FragGeneScan_RW2	FragGeneScan_DJ	FragGeneScan_Rleg
Protein Count (Total)	283	3065	3108	4817	7950
Protein Count (>Min Score)	8	65	65	94	132
% Proteins > Min Score	2.83	2.12	2.09	1.95	1.66
Average Protein Length	336.73	284.25	294.33	316.74	291.11
GC count	225002	1525438	1571596	3523702	4802878
GC %	72.95	52.27	52.05	65.68	60.53
N25	308429	2918587	947149	5365318	4883137
N50	308429	2918587	705844	5365318	4883137
N75	308429	2918587	342451	5365318	1234209
N90	308429	2918587	98909	5365318	630306
Contig Min Length	308429	2918587	274	5365318	415988
Contig Max Length	308429	2918587	947149	5365318	4883137
